Console Name,Type,Company,Released Year,Discontinuation Year,Units sold (million),Units_number,Price,Price_Inflation,Revenue,Remarks,Mods
Telstar,Dedicated,Coleco,1976,1978,1,1000000.00,$50.00,$285.00,"$50,000,000.00",Final sales are greater than 1 million,"1,000,000"
Atari 2600,Home,Atari,1977,1992,30,30000000.00,$199.00,"$1,064.00","$5,970,000,000.00",,
Color TV-Game,Dedicated,Nintendo,1977,1980,3,3000000.00,$45.00,$241.00,"$135,000,000.00",,
Magnavox Odyssey,Home,Magnavox/Philips,1972,1975,2,2000000.00,$100.00,$775.00,"$200,000,000.00",,
Game & Watch,Handheld,Nintendo,1980,1991,43.4,43400000.00,$50.00,$197.00,"$2,170,000,000.00",,
Intellivision,Home,Mattel,1980,1990,3,3000000.00,$299.00,"$1,176.00","$897,000,000.00",,
Atari 5200,Home,Atari,1982,1984,1,1000000.00,$269.00,$903.00,"$269,000,000.00",Final sales are greater than 1 million,
ColecoVision,Home,Coleco,1982,1985,2,2000000.00,$175.00,$588.00,"$350,000,000.00",Final sales are greater than 2 million,
NES,Home,Nintendo,1983,2003,61.91,61910000.00,$199.00,$647.00,"$12,320,090,000.00",,
Atari 7800,Home,Atari,1986,1991,1,1000000.00,$139.00,$411.00,"$139,000,000.00",Final sales are greater than 1 million,
Famicom Disk System,Home console add-on,Nintendo,1986,1992,4.5,4500000.00,$80.00,$236.00,"$360,000,000.00",,
Sega Master System,Home,Sega,1986,1996,13,13000000.00,$200.00,$591.00,"$2,600,000,000.00","Estimated between 10-13 million. Fun Fact The Sega Master System was never discontinued, they're still making them in Brazil.",
PC Engine/TurboGrafx-16,Home,NEC/Hudson Soft[note 6],1989,1994,10,10000000.00,$199.00,$520.00,"$1,990,000,000.00",,
PC Engine CD-ROM,Home console add-on,NEC,1988,1998,1.92,1920000.00,$399.00,"$1,093.00","$766,080,000.00",,
Sega Genesis,Home,Sega,1988,1997,30.75,30750000.00,$189.00,$518.00,"$5,811,750,000.00",,
Atari Lynx,Handheld,Atari,1989,1995,1,1000000.00,$179.00,$468.00,"$179,000,000.00",Final sales are greater than 1 million,
Game Boy,Handheld,Nintendo,1989,2003,64.42,64420000.00,$89.00,$233.00,"$5,733,380,000.00",The Game Boy (1989) and the Game Boy Color (1998) combined have sold 118.69 million units worldwide,
Philips CD-i,Home,Philips,1990,1998,1,1000000.00,$799.00,"$1,981.00","$799,000,000.00",Final sales are greater than 1 million,
Sega Game Gear,Handheld,Sega,1990,1997,10.62,10620000.00,$149.00,$369.00,"$1,582,380,000.00",,
SNES,Home,Nintendo,1990,2003,49.1,49100000.00,$199.00,$465.00,"$9,770,900,000.00",,
Sega CD,Home console add-on,Sega,1991,1996,2.24,2240000.00,$299.00,$493.00,"$669,760,000.00",,
Dendy,Home,Micro Genius,1992,1998,6,6000000.00,$94.00,$217.00,"$564,000,000.00",,
Sega Pico,Home,Sega,1993,1998,3.4,3400000.00,$139.00,$312.00,"$472,600,000.00",Final sales are greater than 3.4 million,
PlayStation,Home,Sony,1994,2006,102.49,102490000.00,$299.00,$654.00,"$30,644,510,000.00",,
Sega Saturn,Home,Sega,1994,2000,9.26,9260000.00,$399.00,$872.00,"$3,694,740,000.00",,
Nintendo 64,Home,Nintendo,1996,2002,32.93,32930000.00,$199.00,$411.00,"$6,553,070,000.00",,
Dreamcast,Home,Sega,1998,2001,9.13,9130000.00,$199.00,$396.00,"$1,816,870,000.00",,
Game Boy Color,Handheld,Nintendo,1998,2003,44.06,44060000.00,$80.00,$159.00,"$3,524,800,000.00",,
WonderSwan,Handheld,Bandai,1999,2018,3.5,3500000.00,$31.00,$60.00,"$108,500,000.00",,
PlayStation 2,Home,Sony,2000,2013,155,155000000.00,$299.00,$563.00,"$46,345,000,000.00",Final sales are greater than 155 million,
Game Boy Advance,Handheld,Nintendo,2001,2010,81.51,81510000.00,$99.00,$181.00,"$8,069,490,000.00",,
GameCube,Home,Nintendo,2001,2007,21.74,21740000.00,$199.00,$364.00,"$4,326,260,000.00",,
Xbox,Home,Microsoft,2001,2009,24,24000000.00,$299.00,$547.00,"$7,176,000,000.00",,
N-Gage,Handheld,Nokia,2003,2005,3,3000000.00,$299.00,$526.00,"$897,000,000.00",,
Nintendo DS,Handheld,Nintendo,2004,2013,154.02,154020000.00,$149.00,$256.00,"$22,948,980,000.00",,
PlayStation Portable,Handheld,Sony,2004,2014,82,82000000.00,$249.00,$427.00,"$20,418,000,000.00",Estimated between 80-82 million,
Xbox 360,Home,Microsoft,2005,2016,84,84000000.00,$299.00,$496.00,"$25,116,000,000.00",Final sales are greater than 84 million,
PlayStation 3,Home,Sony,2006,2017,87.4,87400000.00,$499.00,$802.00,"$43,612,600,000.00",Final sales are greater than 87.4 million,
Wii,Home,Nintendo,2006,2013,101.63,101630000.00,$249.00,$400.00,"$25,305,870,000.00",,
Nintendo 3DS,Handheld,Nintendo,2011,2020,75.94,75940000.00,$249.00,$359.00,"$18,909,060,000.00",,
PlayStation Vita,Handheld,Sony,2011,2019,15,15000000.00,$249.00,$359.00,"$3,735,000,000.00",Estimated between 10-15 million,
Wii U,Home,Nintendo,2012,2017,13.56,13560000.00,$349.00,$492.00,"$4,732,440,000.00",,
PlayStation 4,Home,Sony,2013,0,117.2,117200000.00,$399.00,$555.00,"$46,762,800,000.00",,
Xbox One,Home,Microsoft,2013,2020,58.5,58500000.00,$499.00,$694.00,"$29,191,500,000.00",Estimated between 51-58.5 million,
NES Classic Edition,Dedicated,Nintendo,2016,2018,3.56,3560000.00,$60.00,$81.00,"$213,600,000.00",,
Nintendo Switch,Hybrid,Nintendo,2017,0,122.55,122550000.00,$299.00,$395.00,"$36,642,450,000.00",,
Super NES Classic Edition,Dedicated,Nintendo,2017,2018,5.28,5280000.00,$80.00,$106.00,"$422,400,000.00",,
PlayStation 5,Home,Sony,2020,0,30,30000000.00,$499.00,$625.00,"$14,970,000,000.00",,
Xbox Series X/S,Home,Microsoft,2020,0,18.5,18500000.00,$499.00,$625.00,"$9,231,500,000.00",Approximately around 18.5 million,
